Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-324,"2,450,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,100 m²,3+1,5.Kat,Merkezi (Pay Ölçer),118 m²,2,5,Kiracı Oturuyor
Ev-325,"1,849,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,130 m²,3+1,2.Kat,Kombi Doğalgaz,145 m²,11-15,3,Mülk Sahibi Oturuyor
Ev-326,"1,100,000TLarrow_downward%14",Elazığ - Elazığ Merkez - Üniversite Mahallesi,100 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,115 m²,21 Ve Üzeri,4,Kiracı Oturuyor
Ev-327,"1,499,999TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,100 m²,2+1,4.Kat,Kombi Doğalgaz,110 m²,21 Ve Üzeri,4,Mülk Sahibi Oturuyor
Ev-328,"3,250,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),Bilinmiyor,Boş
Ev-329,"2,900,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,138 m²,3+1,9.Kat,Kombi Doğalgaz,155 m²,0 (Yeni),12,Boş
Ev-330,"1,895,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü,110 m²,3+1,Yüksek Giriş,Merkezi (Pay Ölçer),120 m²,2,4,Boş
Ev-331,"2,950,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,7.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),7,Boş
Ev-332,"5,500,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,230 m²,4+1,Düz Giriş (Zemin),Merkezi Doğalgaz,285 m²,0 (Yeni),12,Boş
Ev-333,"4,500,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,210 m²,5+1,5.Kat,Kombi Doğalgaz,245 m²,0 (Yeni),Bilinmiyor,Boş
Ev-334,"2,850,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,160 m²,3+1,6.Kat,Kombi Doğalgaz,180 m²,Bilinmiyor,11,Mülk Sahibi Oturuyor
Ev-335,"2,200,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,170 m²,5-10,8,Mülk Sahibi Oturuyor
Ev-336,"2,150,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü (Meryem Mahallesi),110 m²,3+1,2.Kat,Kombi Doğalgaz,120 m²,2,4,Kiracı Oturuyor
Ev-337,"2,850,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,145 m²,3+1,8.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-338,"3,250,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,180 m²,1,8,Boş
Ev-339,"3,150,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),8,Boş
Ev-340,"1,350,000TL",Elazığ - Elazığ Merkez - Sarayatik Mahallesi,145 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-341,"990,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,120 m²,2+1,4.Kat,Kombi Doğalgaz,135 m²,21 Ve Üzeri,4,Boş
Ev-342,"2,240,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,100 m²,2+1,2.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),6,Boş
Ev-343,"1,595,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,100 m²,3+1,5.Kat,Kombi Doğalgaz,117 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-344,"2,250,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,105 m²,2+1,10.Kat,Kombi Doğalgaz,120 m²,2,12,Kiracı Oturuyor
Ev-345,"3,750,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,168 m²,3+1,12.Kat,Merkezi Doğalgaz,185 m²,3,15,Mülk Sahibi Oturuyor
Ev-346,"2,670,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,150 m²,3+1,6.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),6,Boş
Ev-347,"2,100,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,165 m²,3+1,1.Kat,Kombi Doğalgaz,180 m²,16-20,5,Boş
Ev-348,"6,000,000TLarrow_downward%8",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,135 m²,3+1,Müstakil,Kombi Doğalgaz,245 m²,11-15,2,Boş
Ev-349,"950,000TLarrow_downward%10",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,145 m²,3+1,7.Kat,Kombi Doğalgaz,155 m²,21 Ve Üzeri,Bilinmiyor,Boş
Ev-350,"1,720,000TLarrow_downward%7",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,115 m²,2+1,1.Kat,Kombi Doğalgaz,135 m²,4,7,Mülk Sahibi Oturuyor
Ev-351,"4,650,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,175 m²,4+1,7.Kat,Kombi Doğalgaz,185 m²,0 (Yeni),7,Boş
Ev-352,"3,100,000TLarrow_downward%6",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,200 m²,4+1,5.Kat,Kombi Doğalgaz,250 m²,5-10,8,Kiracı Oturuyor
Ev-353,"3,500,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),6,Boş
Ev-354,"2,350,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,170 m²,3+1,1.Kat,Kombi Doğalgaz,190 m²,11-15,5,Boş
Ev-355,"1,235,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,115 m²,2+1,5.Kat,Kombi Doğalgaz,130 m²,21 Ve Üzeri,5,Kiracı Oturuyor
Ev-356,"2,800,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,2.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),8,Boş
Ev-357,"2,150,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,180 m²,4+1,5.Kat,Kombi Doğalgaz,200 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-358,"2,599,999TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,100 m²,2+1,2.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),7,Boş
Ev-359,"2,100,000TL",Elazığ - Elazığ Merkez - Karşıyaka Mahallesi,130 m²,3+1,3.Kat,Merkezi (Pay Ölçer),140 m²,3,5,Mülk Sahibi Oturuyor
Ev-360,"1,250,000TL",Elazığ - Elazığ Merkez - Karşıyaka Mahallesi,75 m²,2+1,4.Kat,Merkezi (Pay Ölçer),85 m²,2,4,Boş
Ev-361,"2,300,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,165 m²,3+1,3.Kat,Kombi Doğalgaz,180 m²,11-15,5,Kiracı Oturuyor
Ev-362,"1,525,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,50 m²,2+1,2.Kat,Merkezi (Pay Ölçer),70 m²,3,5,Kiracı Oturuyor
Ev-363,"3,450,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,240 m²,4+1,1.Kat,Merkezi (Pay Ölçer),260 m²,5-10,7,Kiracı Oturuyor
Ev-364,"4,965,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,210 m²,4+1,11.Kat,Merkezi Doğalgaz,237 m²,2,13,Mülk Sahibi Oturuyor
Ev-365,"2,350,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,160 m²,3+1,2.Kat,Kombi Doğalgaz,180 m²,16-20,Bilinmiyor,Kiracı Oturuyor
Ev-366,"1,800,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,40 m²,1 Oda,4.Kat,Kombi Doğalgaz,55 m²,2,11,Kiracı Oturuyor
Ev-367,"2,800,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,190 m²,4+1,3.Kat,Merkezi Doğalgaz,217 m²,16-20,8,Kiracı Oturuyor
Ev-368,"2,925,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,170 m²,3+1,4.Kat,Kombi Doğalgaz,192 m²,4,5,Mülk Sahibi Oturuyor
Ev-369,"1,350,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,135 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,155 m²,11-15,5,Boş
Ev-370,"1,250,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,3+1,5.Kat,Kombi Doğalgaz,140 m²,21 Ve Üzeri,5,Boş
Ev-371,"2,950,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,220 m²,4+1,2.Kat,Kombi Doğalgaz,240 m²,5-10,10,Mülk Sahibi Oturuyor
Ev-372,"3,825,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,190 m²,4+1,8.Kat,Merkezi (Pay Ölçer),210 m²,5-10,9,Boş
Ev-373,"1,350,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,Bilinmiyor,Boş
Ev-374,"2,899,999TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,120 m²,3+1,1.Kat,Kombi Doğalgaz,145 m²,0 (Yeni),7,Boş
Ev-375,"3,500,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,155 m²,3+1,6.Kat,Kombi Doğalgaz,175 m²,0 (Yeni),Bilinmiyor,Boş
Ev-376,"2,400,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,5.Kat,Kombi Doğalgaz,160 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-377,"1,650,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,130 m²,2+1,2.Kat,Kombi Doğalgaz,145 m²,21 Ve Üzeri,5,Boş
Ev-378,"2,550,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,175 m²,3+1,5.Kat,Kombi Doğalgaz,195 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-379,"1,850,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,150 m²,3+1,2.Kat,Doğalgaz Sobalı,165 m²,11-15,3,Mülk Sahibi Oturuyor
Ev-380,"3,600,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,170 m²,3+1,5.Kat,Kombi Doğalgaz,180 m²,0 (Yeni),7,Boş
Ev-381,"1,890,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,110 m²,2+1,6.Kat,Kombi Doğalgaz,130 m²,0 (Yeni),9,Boş
Ev-382,"1,250,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,110 m²,3+1,3.Kat,Kombi Doğalgaz,130 m²,16-20,4,Kiracı Oturuyor
Ev-383,"3,000,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,200 m²,4+1,5.Kat,Merkezi Doğalgaz,220 m²,16-20,7,Boş
Ev-384,"1,650,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,65 m²,2+0,Yüksek Giriş,Kombi Doğalgaz,72 m²,4,8,Bilinmiyor
Ev-385,"1,290,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,130 m²,3+1,3.Kat,Kombi Doğalgaz,150 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-386,"1,100,000TLarrow_downward%9",Elazığ - Elazığ Merkez - Yeni Mahallesi,135 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,150 m²,11-15,5,Boş
Ev-387,"2,990,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,155 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-388,"2,450,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,105 m²,2+1,Bilinmiyor,Kombi Doğalgaz,120 m²,1,5,Boş
Ev-389,"2,600,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü (Yadigar Mahallesi),190 m²,4+1,Düz Giriş (Zemin),Kombi Doğalgaz,220 m²,2,6,Boş
Ev-390,"2,750,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,155 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),6,Boş
Ev-391,"3,250,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,200 m²,4+1,Yüksek Giriş,Merkezi Doğalgaz,210 m²,5-10,8,Kiracı Oturuyor
Ev-392,"4,450,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,3.Kat,Merkezi Doğalgaz,220 m²,5-10,10,Boş
Ev-393,"650,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,130 m²,3+1,1.Kat,Sobalı,140 m²,21 Ve Üzeri,3,Boş
Ev-394,"680,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,120 m²,3+1,3.Kat,Sobalı,130 m²,21 Ve Üzeri,3,Boş
Ev-395,"1,900,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,4.Kat,Kombi Doğalgaz,155 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-396,"1,600,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,50 m²,1+1,3.Kat,Kombi Doğalgaz,55 m²,0 (Yeni),8,Boş
Ev-397,"2,900,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,130 m²,3+1,3.Kat,Kombi Doğalgaz,150 m²,0 (Yeni),4,Boş
Ev-398,"1,500,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,110 m²,3+1,4.Kat,Kombi Doğalgaz,130 m²,11-15,4,Mülk Sahibi Oturuyor
Ev-399,"980,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,140 m²,3+1,5.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,5,Boş
Ev-400,"1,350,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,16-20,5,Boş
Ev-401,"1,000,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,100 m²,2+1,Düz Giriş (Zemin),Kombi Doğalgaz,120 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-402,"995,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,100 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,110 m²,21 Ve Üzeri,4,Boş
Ev-403,"2,685,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,150 m²,3+1,8.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-404,"2,200,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,155 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,11-15,4,Kiracı Oturuyor
Ev-405,"2,595,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,175 m²,4,9,Mülk Sahibi Oturuyor
Ev-406,"3,990,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,248 m²,4+1,6.Kat,Kombi Doğalgaz,270 m²,5-10,8,Mülk Sahibi Oturuyor
Ev-407,"2,850,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,5-10,5,Boş
Ev-408,"1,795,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,168 m²,16-20,5,Mülk Sahibi Oturuyor
Ev-409,"2,345,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,125 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,145 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-410,"870,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,5,Boş
Ev-411,"1,350,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Yeni Mahallesi,135 m²,3+1,2.Kat,Kombi Doğalgaz,150 m²,21 Ve Üzeri,5,Boş
Ev-412,"3,500,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,155 m²,3+1,4.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),8,Boş
Ev-413,"2,200,000TLarrow_downward%5",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,138 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,150 m²,4,7,Mülk Sahibi Oturuyor
Ev-414,"990,000TLarrow_downward%10",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,5,Boş
Ev-415,"2,935,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,180 m²,4+1,1.Kat,Kombi Doğalgaz,200 m²,2,12,Boş
Ev-416,"3,100,000TLarrow_downward%3",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,170 m²,4+1,2.Kat,Kombi Doğalgaz,200 m²,5-10,4,Kiracı Oturuyor
Ev-417,"1,525,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,135 m²,3+1,4.Kat,Kombi Doğalgaz,150 m²,21 Ve Üzeri,5,Boş
Ev-418,"1,790,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,50 m²,1+1,2.Kat,Kombi Doğalgaz,60 m²,0 (Yeni),4,Mülk Sahibi Oturuyor
Ev-419,"1,140,000TL",Elazığ - Elazığ Merkez - Rüstem Paşa Mahallesi,165 m²,3+1,6.Kat,Kombi Doğalgaz,175 m²,21 Ve Üzeri,7,Mülk Sahibi Oturuyor
Ev-420,"1,175,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,140 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,4,Boş
Ev-421,"2,730,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,135 m²,3+1,5.Kat,Kombi Doğalgaz,150 m²,1,6,Boş
Ev-422,"1,525,000TL",Elazığ - Elazığ Merkez - İcadiye Mahallesi,140 m²,3+1,1.Kat,Kombi Doğalgaz,155 m²,11-15,5,Boş
Ev-423,"3,290,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,1.Kat,Merkezi Doğalgaz,220 m²,0 (Yeni),10,Boş
Ev-424,"3,200,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,225 m²,3+1,4.Kat,Kombi Doğalgaz,245 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-425,"1,400,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,145 m²,3+1,3.Kat,Bilinmiyor,155 m²,16-20,4,Boş
Ev-426,"1,850,000TL",Elazığ - Elazığ Merkez - Rüstem Paşa Mahallesi,190 m²,3+1,5.Kat,Kombi Doğalgaz,200 m²,21 Ve Üzeri,6,Kiracı Oturuyor
Ev-427,"2,700,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,180 m²,3+1,4.Kat,Kombi Doğalgaz,200 m²,11-15,4,Boş
Ev-428,"2,450,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,170 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-429,"650,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,110 m²,2+1,Bodrum Kat,Sobalı,120 m²,16-20,4,Boş
Ev-430,"2,375,000TL",Elazığ - Elazığ Merkez - Sarayatik Mahallesi,120 m²,3+1,2.Kat,Kombi Doğalgaz,130 m²,0 (Yeni),8,Boş
Ev-431,"1,550,000TLarrow_downward%9",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,145 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,165 m²,11-15,Bilinmiyor,Boş
Ev-432,"2,850,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,125 m²,Bilinmiyor,11.Kat,Kombi Doğalgaz,140 m²,3,12,Mülk Sahibi Oturuyor
Ev-433,"2,350,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,180 m²,4+1,6.Kat,Merkezi Doğalgaz,210 m²,21 Ve Üzeri,7,Boş
Ev-434,"1,850,000TL",Elazığ - Elazığ Merkez - Rüstem Paşa Mahallesi,130 m²,3+1,3.Kat,Kombi Doğalgaz,150 m²,16-20,4,Kiracı Oturuyor
Ev-435,"2,800,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,135 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,155 m²,0 (Yeni),3,Boş
Ev-436,"3,200,000TLarrow_downward%3",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,150 m²,3+1,6.Kat,Kombi Doğalgaz,175 m²,0 (Yeni),7,Boş
Ev-437,"1,550,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,120 m²,3+1,3.Kat,Kombi Doğalgaz,140 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-438,"1,995,000TLarrow_downward%3",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,120 m²,3+1,3.Kat,Merkezi (Pay Ölçer),Bilinmiyor,2,6,Kiracı Oturuyor
Ev-439,"2,500,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,185 m²,3+1,2.Kat,Kombi Doğalgaz,200 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-440,"3,150,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,180 m²,4+1,4.Kat,Kombi Doğalgaz,200 m²,4,8,Kiracı Oturuyor
Ev-441,"4,050,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,150 m²,3+1,7.Kat,Kombi Doğalgaz,188 m²,0 (Yeni),7,Boş
Ev-442,"1,850,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,180 m²,3+1,Bahçe Katı,Kombi Doğalgaz,200 m²,11-15,3,Mülk Sahibi Oturuyor
Ev-443,"3,300,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,140 m²,3+1,2.Kat,Kombi Doğalgaz,150 m²,0 (Yeni),5,Boş
Ev-444,"2,325,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,140 m²,3+1,2.Kat,Kombi Doğalgaz,155 m²,0 (Yeni),12,Boş
Ev-445,"3,000,000TL",Elazığ - Elazığ Merkez - Yurtbaşı Bld. (Cumhuriyet Mahallesi),190 m²,4+1,2.Kat,Merkezi (Pay Ölçer),220 m²,11-15,9,Kiracı Oturuyor
Ev-446,"2,950,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,2,6,Boş
Ev-447,"2,775,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Üniversite Mahallesi,135 m²,3+1,4.Kat,Kombi Doğalgaz,155 m²,2,7,Mülk Sahibi Oturuyor
Ev-448,"1,200,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,160 m²,3+1,2.Kat,Kombi Doğalgaz,180 m²,21 Ve Üzeri,5,Boş
Ev-449,"990,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,122 m²,2+1,4.Kat,Kombi Doğalgaz,130 m²,21 Ve Üzeri,4,Mülk Sahibi Oturuyor
Ev-450,"1,650,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,150 m²,3+1,Çatı Dubleks,Doğalgaz Sobalı,175 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-451,"2,250,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,160 m²,3+1,8.Kat,Kombi Doğalgaz,Bilinmiyor,4,10,Kiracı Oturuyor
Ev-452,"950,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,180 m²,3+1,3.Kat,Kombi Doğalgaz,210 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-453,"700,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,110 m²,3+1,3.Kat,Sobalı,130 m²,21 Ve Üzeri,6,Mülk Sahibi Oturuyor
Ev-454,"2,850,000TL",Elazığ - Elazığ Merkez - Çarşı Mahallesi,115 m²,3+1,9.Kat,Kombi Doğalgaz,135 m²,0 (Yeni),Bilinmiyor,Boş
Ev-455,"2,125,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,180 m²,4+1,4.Kat,Kombi Doğalgaz,200 m²,16-20,7,Kiracı Oturuyor
Ev-456,"3,750,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,180 m²,4+1,8.Kat,Merkezi Doğalgaz,195 m²,5-10,10,Kiracı Oturuyor
Ev-457,"2,800,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,200 m²,4+1,2.Kat,Merkezi Doğalgaz,220 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-458,"2,150,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,215 m²,4+1,4.Kat,Kombi Doğalgaz,235 m²,16-20,8,Kiracı Oturuyor
Ev-459,"2,750,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),8,Boş
Ev-460,"2,800,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,140 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),7,Boş
Ev-461,"2,950,000TLarrow_downward%9",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,360 m²,6+1,5.Kat,Kombi Doğalgaz,375 m²,11-15,5,Boş
Ev-462,"2,090,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,160 m²,3+1,10.Kat,Kombi Doğalgaz,175 m²,4,10,Mülk Sahibi Oturuyor
Ev-463,"2,775,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,160 m²,3+1,7.Kat,Kombi Doğalgaz,185 m²,0 (Yeni),7,Boş
Ev-464,"1,980,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,1.Kat,Kombi Doğalgaz,136 m²,16-20,4,Boş
Ev-465,"2,150,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,140 m²,3+1,2.Kat,Merkezi Doğalgaz,157 m²,5-10,10,Kiracı Oturuyor
Ev-466,"2,550,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,200 m²,4+1,3.Kat,Merkezi Doğalgaz,220 m²,16-20,8,Kiracı Oturuyor
Ev-467,"8,300,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Hankendi Köyü (Yeşilkent Mahallesi),140 m²,3+1,Bahçe Katı,Doğalgaz Sobalı,150 m²,5-10,Bilinmiyor,Mülk Sahibi Oturuyor
Ev-468,"1,750,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,40 m²,1+1,8.Kat,Kombi Doğalgaz,50 m²,2,9,Bilinmiyor
