Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-117,"4,300,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,175 m²,3+1,1.Kat,Kombi Doğalgaz,195 m²,0 (Yeni),10,Boş
Ev-118,"1,650,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,120 m²,3+1,3.Kat,Doğalgaz Sobalı,130 m²,11-15,5,Boş
Ev-119,"5,695,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,225 m²,4+1,Yüksek Giriş,Merkezi Doğalgaz,260 m²,0 (Yeni),9,Boş
Ev-120,"3,985,000TL",Elazığ - Elazığ Merkez - Şahinkaya Köyü (Veran Mahallesi),175 m²,4+1,Yüksek Giriş,Kombi Doğalgaz,200 m²,0 (Yeni),8,Boş
Ev-121,"3,500,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,180 m²,4+1,3.Kat,Merkezi Doğalgaz,190 m²,0 (Yeni),8,Boş
Ev-122,"1,830,000TL",Elazığ - Elazığ Merkez - Çatal Çeşme Mahallesi,100 m²,2+1,Yüksek Giriş,Doğalgaz Sobalı,110 m²,2,5,Kiracı Oturuyor
Ev-123,"1,450,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,16-20,5,Bilinmiyor
Ev-124,"1,750,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,125 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,145 m²,5-10,8,Boş
Ev-125,"2,250,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,160 m²,16-20,Bilinmiyor,Boş
Ev-126,"4,250,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,200 m²,4+1,4.Kat,Merkezi Doğalgaz,220 m²,11-15,8,Mülk Sahibi Oturuyor
Ev-127,"4,200,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,8.Kat,Merkezi Doğalgaz,220 m²,0 (Yeni),8,Boş
Ev-128,"3,900,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,185 m²,4+1,4.Kat,Kombi Doğalgaz,225 m²,0 (Yeni),9,Boş
Ev-129,"1,950,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,145 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,11-15,4,Mülk Sahibi Oturuyor
Ev-130,"4,600,000TL",Elazığ - Elazığ Merkez - Şahinkaya Köyü (Veran Mahallesi),195 m²,4+1,6.Kat,Merkezi (Pay Ölçer),210 m²,0 (Yeni),8,Boş
Ev-131,"3,850,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,155 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),7,Boş
Ev-132,"1,920,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,85 m²,2+2,Yüksek Giriş,Kombi Doğalgaz,100 m²,0 (Yeni),4,Boş
Ev-133,"3,250,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,200 m²,4+1,2.Kat,Merkezi Doğalgaz,220 m²,11-15,7,Boş
Ev-134,"1,950,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,145 m²,3+1,7.Kat,Merkezi (Pay Ölçer),160 m²,5-10,10,Kiracı Oturuyor
Ev-135,"2,600,000TL",Elazığ - Elazığ Merkez - Fevzi Çakmak Mahallesi,120 m²,2+1,2.Kat,Kombi Doğalgaz,135 m²,0 (Yeni),4,Boş
Ev-136,"1,425,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,165 m²,3+1,1.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,5,Boş
Ev-137,"2,250,000TL",Elazığ - Elazığ Merkez - Sarayatik Mahallesi,170 m²,3+1,4.Kat,Kombi Doğalgaz,180 m²,11-15,5,Boş
Ev-138,"2,970,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,160 m²,3+1,8.Kat,Kombi Doğalgaz,170 m²,4,12,Boş
Ev-139,"1,750,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,55 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,60 m²,1,4,Kiracı Oturuyor
Ev-140,"1,350,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,1 Oda,4.Kat,Doğalgaz Sobalı,140 m²,21 Ve Üzeri,5,Boş
Ev-141,"2,100,000TL",Elazığ - Elazığ Merkez - Akpınar Mahallesi,140 m²,3+1,3.Kat,Doğalgaz Sobalı,160 m²,21 Ve Üzeri,4,Mülk Sahibi Oturuyor
Ev-142,"2,755,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,85 m²,2+1,5.Kat,Kombi Doğalgaz,100 m²,0 (Yeni),8,Boş
Ev-143,"2,250,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,300 m²,3+1,5.Kat,Kombi Doğalgaz,320 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-144,"3,300,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,Yüksek Giriş,Merkezi (Pay Ölçer),220 m²,0 (Yeni),10,Boş
Ev-145,"1,820,000TLarrow_downward%7",Elazığ - Elazığ Merkez - Güneykent Mahallesi,85 m²,2+1,3.Kat,Merkezi Doğalgaz,93 m²,4,5,Kiracı Oturuyor
Ev-146,"900,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,135 m²,3+1,5.Kat,Kombi Doğalgaz,155 m²,21 Ve Üzeri,5,Boş
Ev-147,"2,340,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,115 m²,2+1,3.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),9,Boş
Ev-148,"4,490,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,190 m²,4+1,5.Kat,Merkezi Doğalgaz,220 m²,0 (Yeni),9,Boş
Ev-149,"2,300,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,160 m²,3+1,1.Kat,Merkezi Doğalgaz,175 m²,16-20,7,Mülk Sahibi Oturuyor
Ev-150,"1,090,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,125 m²,2+1,4.Kat,Kombi Doğalgaz,130 m²,21 Ve Üzeri,4,Kiracı Oturuyor
Ev-151,"1,950,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,110 m²,2+1,6.Kat,Kombi Doğalgaz,125 m²,11-15,6,Boş
Ev-152,"2,950,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,110 m²,2+1,4.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),5,Boş
Ev-153,"2,450,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,185 m²,3+1,1.Kat,Kombi Doğalgaz,195 m²,11-15,5,Boş
Ev-154,"3,850,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,200 m²,4+1,1.Kat,Merkezi Doğalgaz,240 m²,3,7,Boş
Ev-155,"2,620,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,200 m²,4+1,3.Kat,Kombi Doğalgaz,240 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-156,"4,650,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,190 m²,4+1,9.Kat,Merkezi Doğalgaz,210 m²,2,17,Boş
Ev-157,"3,500,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,125 m²,3+1,3.Kat,Kombi Doğalgaz,145 m²,0 (Yeni),4,Boş
